ra,dec,parallax,teff,radius,luminosity,phot_g_mean_mag,feh,x,y,z,processed_feh
127.53466872769661,20.785227021705737,4.6141736636812185,5849.5,1.3401369,1.8943839,10.661021,-0.118,-0.12344360515464758,0.16067344397905495,0.07690779405379544,-0.118
127.70778712509684,19.519570397396024,4.66548669221225,5581.815,0.9992577,0.8732758,11.498038,-0.011,-0.12356317588516376,0.15982716910678677,0.07161714047102484,-0.011
127.7309189460818,19.55544496496964,5.550311918676027,5831.4,1.1288719,1.3276248,10.646946,-0.044,-0.10389600132273752,0.13427589877671775,0.060306321378945704,-0.044
127.73430395986384,20.647950828099056,9.717726990432107,5997.6665,1.1334562,1.4977298,9.291471,-0.042,-0.05893236520005792,0.0761552930893412,0.036286768861795195,-0.042
127.7553251033145,20.172632216094886,4.983918970995059,5940.4453,0.9453208,1.0026033,11.179731,-0.031,-0.11531719035496156,0.1489056236747439,0.06919251355995104,-0.031
127.7612623394503,20.771778572681278,5.26866205537425,6221.3,1.5511303,3.2472503,9.773577,-0.045,-0.10867441278684903,0.1402979703974921,0.06731243356556252,-0.045
127.85875151414166,19.862324249007415,5.917856442559293,5611.793,1.0081129,0.90807056,10.936481,-0.147,-0.09753667006729783,0.12547762765289258,0.05741287889547391,-0.147
127.9026029027855,18.657152320844908,7.282328178070786,5430.4,0.88930494,0.6196171,10.920317,-0.169,-0.07992476104160992,0.10265825458955993,0.04392888345588751,-0.169
127.93529533712746,20.66370066997383,4.5487136493544,6290.533,1.5011958,3.1792102,10.114255,0.009,-0.12645807751802235,0.16223627304110944,0.07757844441946975,0.009
127.94953804586356,21.762407845942306,4.933115833504936,6224.5,1.6352166,3.6162891,9.799533,-0.015,-0.11577633279017621,0.148456267503724,0.0751570776468973,-0.015
127.9621045677779,19.885237954415327,4.536373317565515,6137.1333,1.2969338,2.1497726,10.548488,-0.176,-0.12751660112428334,0.1634365038359242,0.07498000128087841,-0.176
128.0096543159635,19.600425050212454,5.03430778523205,5979.55,1.5511439,2.7712317,10.052261,-0.167,-0.11523173615896624,0.14743868190826206,0.06663449529297702,-0.167
128.01150313770637,19.12633034968986,6.33857378324283,6118.0503,1.3206698,2.2015843,9.796782,0.002,-0.0917912266653368,0.11743880542258602,0.051691772962309666,0.002
128.11121002601703,17.91614973202109,5.00053204778688,5468.5,0.9924585,0.79358286,11.46334,-0.296,-0.11743968219299866,0.14971604361610008,0.061518419390666455,-0.296
128.1132109854095,19.525424855412375,5.419638564197942,5941.0,1.4262984,2.2832513,10.104147,-0.05,-0.10733615387786904,0.1368258868141657,0.061669263945025046,-0.05
128.1639254988972,20.14703220696792,6.968629181704784,6456.375,2.1846423,7.471545,8.258211,-0.046,-0.08324513709021214,0.10592286160542491,0.049425854223405424,-0.046
128.23047335762215,18.546764253186257,4.598439472608634,5912.8374,0.9632683,1.0218166,11.335268,-0.436,-0.127583963641459,0.16195298108213563,0.06917097963116345,-0.436
128.44165379365796,22.120807435771905,5.4298523247641315,5872.6997,1.0359522,1.1500728,10.848105,-0.202,-0.10607175213025766,0.13362956029030332,0.06935008400392859,-0.202
128.66324790470148,21.492953298512997,6.390629289995843,6336.5547,2.8659425,11.930055,7.9394403,0.02,-0.09096115447662885,0.11368745112313405,0.057331880320139965,0.02
128.66694612475615,21.938612001535567,5.017866708061375,5736.04,1.0484039,1.0720143,11.104402,-0.065,-0.11549684821358122,0.144334195420765,0.07445653591553475,-0.065
128.74827647571436,21.09693038771715,5.458319103224603,5629.0,1.050058,0.99734694,11.008652,-0.078,-0.1069830635418074,0.13330634909166772,0.06594462836615934,-0.078
128.80117412164955,19.8501029953779,4.687882053781655,5440.0,1.0541594,0.87680477,11.498656,,-0.1257260009092563,0.15636504646930174,0.07243368144305803,0.024835707650561634
128.82403048945045,19.636135986322607,5.2575586955255025,5363.0,0.91339326,0.6217868,11.6327715,,-0.11230914221566067,0.13956449499498055,0.06391667131029374,-0.006913215058559233
128.83086761428237,19.59001064560959,5.178796714652369,5669.0,9.103298,77.11131,6.398721,,-0.11406682549272495,0.1417141091497899,0.06474232106781276,0.032384426905034625
128.8524892055196,22.40753415799564,5.357935213567234,5410.0,0.8562169,0.56578493,11.68793,-0.202,-0.10824178542774232,0.13437336206093003,0.07114530725736232,-0.202
128.8666981981273,20.196281190836856,5.072474153238866,5900.0,1.4898489,2.4231884,10.18534,,-0.11610278924155429,0.1440590147985756,0.06806092540177283,0.07615149282040128
128.91456603528383,19.260726259436037,6.588579299147319,5689.0,0.98408526,0.913911,10.689834,,-0.09000438303100163,0.11148564804556173,0.05006654181996789,-0.011707668736166799
128.91582560641672,17.89875999274761,7.015545575127389,6425.4,1.5302769,3.5961301,9.037831,-0.016,-0.08520717787137173,0.10553875121494671,0.04380785782536766,-0.016
128.93304629312559,20.846626504536417,5.28831720893229,6064.4746,2.5799007,8.110983,8.776057,,-0.11105115027016364,0.1374648894230525,0.06729316316501774,-0.011706847847459028
128.9771332023505,18.149300071649286,5.222092900414325,5806.0,1.1630625,1.3848696,10.735033,,-0.1144590330091217,0.14146053373562986,0.05964929968993514,0.07896064077536957
128.9871203172829,20.82625336691887,5.236612307135159,5232.5,0.97362036,0.64019305,11.629719,-0.646,-0.11229380141283281,0.13873505121401977,0.06789413624274612,-0.646
129.06759767657442,17.3815875245093,5.081728312646218,5609.0,0.98945963,0.8730369,11.310218,-0.139,-0.1183569640290068,0.14580660975560206,0.05878592978047049,-0.139
129.11573688931335,17.91481586371966,5.4040715800169545,5883.0,1.1277076,1.3724078,10.665988,0.07,-0.11108295057266833,0.13661085959960204,0.05692054066636165,0.07
129.14446189377517,21.798652083117954,6.964664189858796,6034.0,1.3112842,2.05357,9.670665,-0.061,-0.0841588368449624,0.1033933898532759,0.053318578204171845,-0.061
129.14879715949237,22.859884066999232,4.532210377119627,5837.0,1.0662847,1.1890491,11.20634,-0.143,-0.12835896800705293,0.15767111868914246,0.08571510362899419,-0.143
129.1665347170013,22.17281255965377,4.994712585917451,6417.15,3.0827963,14.519549,8.260367,0.017,-0.11709809591340296,0.14374779065978505,0.07556018542231324,0.017
129.1666180310231,20.6097280638753,5.273767338922732,5314.0,0.9107839,0.59595245,11.67919,-0.068,-0.11209379301881768,0.13760417808939565,0.06674556369520812,-0.068
129.16677633357708,18.468760227238235,7.994400169342177,6408.0,1.5830019,3.8066907,8.692595,,-0.07493386163576757,0.09198684409073941,0.039626181015838244,0.03837173645764544
129.19034668485799,20.123890074022494,5.488404687208226,5405.5,0.923437,0.6559228,11.475761,0.01,-0.10810461337379992,0.13259495681878042,0.06268692807304528,0.01
129.19394737048134,19.762165786125937,6.559367106485578,5386.875,0.8799481,0.5874304,11.210861,-0.244,-0.09066856652023543,0.11119462668726024,0.05154713063694807,-0.244
129.20385490138537,19.2573050700223,4.909265531873927,5755.275,1.0480319,1.0856954,11.136783,-0.04,-0.1215486449957685,0.1490128924951079,0.06718133485629986,-0.04
129.25829935869345,19.604728344837703,5.019155788697598,6453.98,2.0961404,6.868247,9.062223,0.021,-0.11877155058156885,0.1453261483443007,0.06684975047588165,0.021
129.29770632807893,19.803626586667225,5.303341582507658,5601.0,1.0296644,0.94004434,11.137974,-0.02,-0.11236182791860135,0.13729054079514394,0.06388377368685683,-0.02
129.30039655400986,23.049459574523667,4.778435515452212,5728.0576,0.92048585,0.82178545,11.499755,-0.183,-0.12196905082914652,0.1490149563488502,0.08193593722842582,-0.183
129.32605854904358,19.698940958450837,5.346315124670726,5414.0,1.030748,0.8223804,11.28608,,-0.11159923370640894,0.13622117014226423,0.0630486322986484,-0.023473719296747606
129.34244927173654,20.176953489098516,5.225539844907971,5597.075,0.992398,0.87078524,11.253525,-0.037,-0.11387329274687949,0.13891586702694872,0.06600670633623915,-0.037
129.34246893062945,17.223525029227854,9.154037373242248,5629.0,0.884488,0.7076256,10.25849,-0.115,-0.0661484944244674,0.0806955590997443,0.032346410663253826,-0.115
129.36013623962384,20.48711582498829,9.438540346268974,6109.1,2.1435156,5.7657647,7.8871865,0.016,-0.0629420013155573,0.076735635624699,0.03708165975847345,0.016
